Date,Nodes,Channel,SNR,RSSI,Type,Hops,Data
"3/15, 4:35 PM","470b","0","","","TELEMETRY_APP","1 / 7","4.1V 94%"
"3/15, 4:36 PM","enas","0","","","TELEMETRY_APP","1 / 7","4.2V 98%"
"3/15, 4:37 PM","MFMY to enas","0","","","NODEINFO_APP","3 / 6","MFM Mini Yellow"
"3/15, 4:37 PM","MYR1","0","6","-42","NODEINFO_APP","","Enorym_346c"
"3/15, 4:37 PM","BIC","0","","","POSITION_APP","3 / 3","(38.037, -121.661) -18m asl"
"3/15, 4:38 PM","0xFC to BIC","","","","TRACEROUTE","",""
"3/15, 4:39 PM","!69844b1c","0","","","STORE_FORWARD_APP","4 / 7",""
"3/15, 4:39 PM","tblu","0","","","TELEMETRY_APP","2 / 5","4.1V 94%"
"3/15, 4:39 PM","0xFA to !69844b1c","0","","","NODEINFO_APP","1 / 7","0xFA Shrike"
"3/15, 4:40 PM","d7af","0","","","NODEINFO_APP","3 / 3","Meshtastic d7af"
"3/15, 4:41 PM","0xFC to d7af","","","","TRACEROUTE","",""
"3/15, 4:40 PM","!e4ea040","218","","","encrypted","2 / 7",""
"3/15, 4:40 PM","!e10d5fbe","0","","","POSITION_APP","5 / 5","(38.280, -122.035) 9m asl"
"3/15, 4:41 PM","0xFC to !e10d5fbe","","","","TRACEROUTE","",""
"3/15, 4:40 PM","0xFC","0","","","TELEMETRY_APP","",""
"3/15, 4:40 PM","470b","0","","","POSITION_APP","1 / 7","(38.247, -120.350) 1272m asl"
"3/15, 4:40 PM","WB6T to !e10d5fbe","0","","","NODEINFO_APP","2 / 3","WB6TOU"
"3/15, 4:41 PM","MFMY","0","","","TEXT_MESSAGE_APP","3 / 6",""
"3/15, 4:41 PM","f63c","0","","","POSITION_APP","3 / 7","(39.177, -121.228) 432m asl"
"3/15, 4:43 PM","Mfeb","0","","","TELEMETRY_APP","3 / 3",""
"3/15, 4:44 PM","0xFC to Mfeb","","","","TRACEROUTE","",""
"3/15, 4:43 PM","enrr","0","-18","-128","NODEINFO_APP","0 / 7","ERSN Rocky Ridge"
"3/15, 4:43 PM","MT","0","6.25","-42","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/15, 4:43 PM","Mfeb to 0xFC","0","","","TRACEROUTE_APP","3 / 4","0xFC -> MT -> tblu -> enfm -> RIPR -> Mfeb"
"3/15, 4:44 PM","MFMQ","0","","","POSITION_APP","3 / 4","(38.142, -120.403) 1038m asl"
"3/15, 4:45 PM","0xFC to MFMQ","","","","TRACEROUTE","",""
"3/15, 4:44 PM","RIPR","0","","","TELEMETRY_APP","2 / 3","4.2V 99%"
"3/15, 4:45 PM","U951","0","MQTT","","POSITION_APP","3 / 7","(37.754, -122.413) 16m asl"
"3/15, 4:45 PM","0xFA to U951","0","","","NODEINFO_APP","2 / 7","0xFA Shrike"
"3/15, 4:45 PM","enfm","0","","","NODEINFO_APP","1 / 7","ERSN Forest Meadows"
"3/15, 4:49 PM","A23G","0","MQTT","","POSITION_APP","3 / 5","(37.754, -122.413) 30m asl"
"3/15, 4:50 PM","0xFC to A23G","","","","TRACEROUTE","",""
"3/15, 4:49 PM","RIPR to A23G","0","","","NODEINFO_APP","2 / 3","Ripon_Router"
"3/15, 4:50 PM","STN1","0","","","TELEMETRY_APP","3 / 7","4.1V 93%"
"3/15, 4:50 PM","MT","0","7.5","-42","TELEMETRY_APP","0 / 7","4.2V 101%"
"3/15, 4:53 PM","WB6T","0","","","POSITION_APP","3 / 3","(38.137, -121.285) 15m asl"
