Date,Nodes,Channel,SNR,RSSI,Type,Hops,Data
"3/9, 11:32 PM","MP","0","","","TELEMETRY_APP","3 / 7","3.7V 52%"
"3/9, 11:34 PM","A23G","0","MQTT","","POSITION_APP","4 / 5","(37.754, -122.413) 30m asl"
"3/9, 11:34 PM","MUHM","0","","","POSITION_APP","4 / 6",""
"3/9, 11:34 PM","elxx","0","","","POSITION_APP","3 / 7","(37.985, -120.298) 691m asl"
"3/9, 11:34 PM","8b04","0","","","POSITION_APP","4 / 7","(37.932, -120.403) 474m asl"
"3/9, 11:35 PM","WB6T","0","","","POSITION_APP","2 / 3","(38.137, -121.285) 15m asl"
"3/9, 11:35 PM","!fa6ba8dc","107","","","encrypted","6 / 7",""
"3/9, 11:36 PM","MT","0","6.25","-56","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/9, 11:36 PM","0xFC","0","","","TELEMETRY_APP","",""
"3/9, 11:36 PM","!79cfdddc","0","","","POSITION_APP","2 / 3","(37.513, -120.875) 40m asl"
"3/9, 11:36 PM","0xFC to !79cfdddc","","","","TRACEROUTE","",""
"3/9, 11:36 PM","RM","0","","","POSITION_APP","4 / 6","(36.831, -119.826) 37m asl"
"3/9, 11:37 PM","!9cdcebd0","0","","","TELEMETRY_APP","3 / 7",""
"3/9, 11:37 PM","0xFC to RM","","","","TRACEROUTE","",""
"3/9, 11:37 PM","!79cfdddc","0","","","POSITION_APP","2 / 3","(37.513, -120.875) 40m asl"
"3/9, 11:37 PM","!66deddf9","126","","","encrypted","6 / 7",""
"3/9, 11:38 PM","A23G","0","MQTT","","POSITION_APP","3 / 5","(37.754, -122.413) 30m asl"
"3/9, 11:38 PM","0xFC to A23G","","","","TRACEROUTE","",""
"3/9, 11:38 PM","!f08bd34e","0","","","TELEMETRY_APP","3 / 4","4.1V 94%"
"3/9, 11:38 PM","🌋","0","","","TELEMETRY_APP","1 / 3",""
"3/9, 11:38 PM","MUHM","0","","","POSITION_APP","4 / 6","(37.985, -122.343) ?m asl"
"3/9, 11:38 PM","8998","0","","","POSITION_APP","6 / 7","(37.254, -121.888) 55m asl"
"3/9, 11:39 PM","0xFC to 8998","","","","TRACEROUTE","",""
"3/9, 11:39 PM","c3c0","0","","","TELEMETRY_APP","6 / 6","4.3V 101%"
"3/9, 11:39 PM","!fa6ba8dc","107","","","encrypted","6 / 7",""
"3/9, 11:40 PM","!43b63f44","0","","","POSITION_APP","5 / 5","(37.754, -122.456) 189m asl"
"3/9, 11:40 PM","RIPR","0","","","TELEMETRY_APP","1 / 3","4.2V 97%"
"3/9, 11:43 PM","MFMG","0","","","NODEINFO_APP","2 / 5","Murphys GPS Tracker"
"3/9, 11:43 PM","0xFC to MFMG","","","","TRACEROUTE","",""
"3/9, 11:43 PM","!5aeeaad1","0","","","POSITION_APP","3 / 7","(37.932, -120.612) 281m asl"
"3/9, 11:43 PM","MFMG to 0xFC","0","MQTT","","TRACEROUTE_APP","3 / 5","0xFC -> MT -> tblu -> !26db6899 -> MFMG"
"3/9, 11:45 PM","8998","0","","","POSITION_APP","6 / 7","(37.254, -121.888) 55m asl"
"3/9, 11:45 PM","!79cfdddc","0","","","TELEMETRY_APP","3 / 3","0.0V 101%"
"3/9, 11:45 PM","!eb45d903","0","","","POSITION_APP","7 / 7","(37.985, -122.343) 19m asl"
"3/9, 11:45 PM","0xFC to !eb45d903","","","","TRACEROUTE","",""
"3/9, 11:46 PM","MT","0","6.25","-56","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/9, 11:47 PM","!ac259c2d","0","MQTT","","TELEMETRY_APP","7 / 7","3.8V 54%"
"3/9, 11:47 PM","!fa6ba8dc","107","","","encrypted","7 / 7",""
"3/9, 11:47 PM","BIC","0","","","POSITION_APP","3 / 3","(38.037, -121.661) -6m asl"
"3/9, 11:47 PM","0xFC to BIC","","","","TRACEROUTE","",""
"3/9, 11:48 PM","!1ebc35b9","0","-13.5","-124","POSITION_APP","","(37.670, -122.080) 159m asl"
